ASRP_y,LOT,prod_y,prod_count,LOT_y,ASRP_n,construct,ASRP_f,est_ASRP_f,DAIS_f,total_f
2012,PS-3-02W1,1975,7199 ,38,40,脚包,1,179.975,,179.975
2012,KEC-3-18W2,1979,905 ,34,40,脚包,0,0,,0
2012,KEC-3-13,1978,11616 ,35,40,脚包,0,0,,0
2012,KEC-3-04,1976,1367 ,37,40,脚包,0,0,,0
2012,KEC-2-03,1976,22779 ,37,36,脚包,0,0,,0
2013,PS-5-02W1,1975,19598 ,39,40,脚包,0,0,,0
2013,PS-2-03,1974,6384 ,40,40,脚包,0,0,,0
2013,PS-2-02W2,1975,6454 ,39,40,脚包,1,161.35,,161.35
2013,PS-1-001W1,1975,1287 ,39,40,脚包,1,32.175,,32.175
2013,KEC-2-02W4,1975,7104 ,39,40,脚包,0,0,,0
2013,KEC-2-01W1,1975,3097 ,39,40,脚包,1,77.425,,77.425
2014,PS-83A200-010,1983,5206 ,32,40,脚包,1,130.15,,130.15
2014,PS-6-05,1979,9475 ,36,40,脚包,0,0,,0
2014,PS-6-04W1,1979,3932 ,36,40,脚包,0,0,,0
2014,PS-6-03KA,1979,2000 ,36,40,脚包,2,100,,100
2014,PS-4-01W3,1977,14568 ,38,40,脚包,2,728.4,,728.4
2014,PS-3-01W4,1976,2484 ,39,40,脚包,2,124.2,,124.2
2014,KEC83E205-009,1983,5084 ,32,40,脚包,1,127.1,,127.1
2014,KEC-3-17A,1979,2265 ,36,40,脚包,17,962.625,,962.625
2014,KEC-3-14KD,1978,698 ,37,40,脚包,10,174.5,,174.5
2014,KEC-3-12W1,1978,7703 ,37,40,脚包,0,0,,0
2014,KEC-3-08KL,1977,5183 ,38,40,脚包,5,647.875,,647.875
2014,KEC-3-08KK,1977,2650 ,38,40,脚包,5,331.25,,331.25
2014,KEC-3-08KC,1977,2176 ,38,40,脚包,6,326.4,,326.4
2014,KEC-3-02A,1978,560 ,37,40,脚包,0,0,,0
2015,HWY00D205-044,1978,5578 ,38,40,脚包,0,0,,0
2015,HWY02K205-046,1980,15223 ,36,40,脚包,0,0,,0
2015,HWY90A205-030,1981,2131 ,35,40,脚包,1,53.275,,53.275
2015,HWY90B205-031,1984,5610 ,32,40,脚包,0,0,,0
2015,HWY90D205-032,1986,12671 ,30,40,脚包,0,0,,0
2015,HWY90K205-033A,1986,5260 ,30,40,脚包,1,131.5,,131.5
2016,KEC84J205-016,1984,11033 ,33,40,脚包,0,0,,0
2016,KEC86H205-021,1986,2461 ,31,40,脚包,0,0,,0
2016,KEC86J205-022,1986,6319 ,31,40,脚包,0,0,,0
2016,HWY92A205-035,1992,15020 ,25,20,脚包,0,0,,0
2016,HWY92J205-036,1992,8399 ,25,40,脚包,0,0,,0
2016,PS-92B200-026,1992,15000 ,25,40,脚包,1,375,,375
2016,HWY93A205-037,1993,13564 ,24,20,脚包,1,678.2,,678.2
2016,PS-93C200-027,1993,13452 ,24,20,脚包,2,1345.2,,1345.2
2016,HWY94G205-039,1994,13289 ,23,20,脚包,1,664.45,,664.45
2016,PS-94C200-028,1994,14450 ,23,40,脚包,2,722.5,,722.5
2016,PS-94H200-029,1994,3800 ,23,40,脚包,0,0,,0
2016,HWY95H205-040,1995,8690 ,22,40,脚包,0,0,,0
2016,HWY95H205-041,1995,6996 ,22,40,脚包,0,0,,0
2016,PS-95D200-030,1995,6185 ,22,20,脚包,0,0,,0
2016,PS-95E200-031,1995,12173 ,22,40,脚包,1,304.325,,304.325
2016,HWY96F205-042,1996,2015 ,21,40,脚包,0,0,,0
2016,PS-97E200-032,1997,12937 ,20,20,脚包,0,0,,0
2016,PS-97L200-033,1997,2330 ,20,40,脚包,0,0,,0
2016,PS-98B200-034A,1998,14735 ,19,40,脚包,0,0,,0
2016,PS-98J200-035,1998,2285 ,19,20,脚包,0,0,,0
2016,HWY99D205-043,1999,17368 ,18,40,脚包,0,0,,0
2016,PS-01L200-036,2001,11161 ,16,20,脚包,0,0,,0
